,count,mean,std,min,25%,50%,75%,max
Ease of finding your way through the airport,3501.0,4.511,0.864,0.0,4.0,5.0,5.0,5.0
Walking distance inside terminal,3501.0,4.404,0.908,0.0,4.0,5.0,5.0,5.0
Cleanliness of airport terminal,3501.0,4.383,0.833,0.0,4.0,5.0,5.0,5.0
Ambience of airport,3501.0,4.244,0.881,0.0,4.0,4.0,5.0,5.0
Flight information screens,3501.0,4.235,1.335,0.0,4.0,5.0,5.0,5.0
Feeling of safety and security,3501.0,4.202,1.197,0.0,4.0,5.0,5.0,5.0
Thoroughness of security inspection,3501.0,4.094,1.267,0.0,4.0,5.0,5.0,5.0
Wait time of security inspection,3501.0,4.033,1.287,0.0,3.0,4.0,5.0,5.0
Comfort of waiting/gate areas,3501.0,4.003,1.018,0.0,3.0,4.0,5.0,5.0
Courtesy of security staff,3501.0,3.971,1.421,0.0,4.0,4.0,5.0,5.0
Availability of washrooms,3501.0,3.919,1.427,0.0,4.0,4.0,5.0,5.0
Cleanliness of washrooms,3501.0,3.814,1.518,0.0,3.0,4.0,5.0,5.0
Check-in wait time,3501.0,3.803,1.72,0.0,3.0,5.0,5.0,5.0
Courtesy of of check-in staff,3501.0,3.796,1.774,0.0,3.0,5.0,5.0,5.0
Efficiency of check-in staff,3501.0,3.791,1.709,0.0,3.0,5.0,5.0,5.0
Courtesy of airport staff,3501.0,3.606,1.858,0.0,3.0,4.0,5.0,5.0
Courtesy of inspection staff,3501.0,3.499,1.906,0.0,3.0,4.0,5.0,5.0
Wait time at passport inspection,3501.0,3.38,1.957,0.0,2.0,4.0,5.0,5.0
Restaurants,3501.0,3.003,1.961,0.0,0.0,4.0,5.0,5.0
Arrivals passport and visa inspection,3501.0,2.536,2.213,0.0,0.0,4.0,5.0,5.0
Restaurants (value for money),3501.0,2.504,1.831,0.0,0.0,3.0,4.0,5.0
Ground transportation to/from airport,3501.0,2.157,2.184,0.0,0.0,2.0,4.0,5.0
Shopping facilities,3501.0,1.861,2.008,0.0,0.0,0.0,4.0,5.0
Internet access,3501.0,1.861,1.954,0.0,0.0,1.0,4.0,5.0
Overall satisfaction,3501.0,1.736,2.194,0.0,0.0,0.0,4.0,5.0
Shopping facilities (value for money),3501.0,1.513,1.785,0.0,0.0,0.0,3.0,5.0
Customs inspection,3501.0,1.266,1.902,0.0,0.0,0.0,3.0,5.0
Parking facilities,3501.0,1.117,1.851,0.0,0.0,0.0,3.0,5.0
Availability of baggage carts,3501.0,1.009,1.781,0.0,0.0,0.0,2.0,5.0
Parking facilities (value for money),3501.0,1.003,1.699,0.0,0.0,0.0,2.0,5.0
Availability of banks/ATM/money changing,3501.0,0.889,1.69,0.0,0.0,0.0,0.0,5.0
Speed of baggage delivery,3501.0,0.871,1.701,0.0,0.0,0.0,0.0,5.0
Business/executive lounges,3501.0,0.472,1.302,0.0,0.0,0.0,0.0,5.0
Ease of making connections,3501.0,0.352,1.225,0.0,0.0,0.0,0.0,5.0
